title,author,binding,in_stock,category,product_url,price_idr,original_price_idr,discount_percent,isbn,publisher,publication_date,pages,language,weight,review_count
Sound System: The Political Power of Music,"Randall, Dave",Paperback,1,Cooking & Food,http://www.periplus.com/p/9780745351339/sound-system-the-political-power-of-music?path=1_17,294000.0,420000.0,30.0,9780745351339.0,Pluto Press (UK),-,208.0,English,0.18,0
"Action Origami: Paper Toys That Fly, Hop, Twirl, Shake...","Sasagawa, Isamu",Paperback,1,Cooking & Food,http://www.periplus.com/p/9784805319444/action-origami-paper-toys-that-fly-hop-twirl-shake-and-surprise?path=1_17,199500.0,285000.0,30.0,9784805319444.0,Tuttle Publishing,-,144.0,English,0.45,0
Mood Machine,"Pelly, Liz",Paperback,1,Cooking & Food,http://www.periplus.com/p/9781399718851/mood-machine?path=1_17,169000.0,340000.0,50.0,9781399718851.0,Hodder & Stoughton,13 March 2025,0.0,English,0.36,0
Beyond the Story,"Kang, Myeongseok",Hardcover,0,Cooking & Food,http://www.periplus.com/p/9781035031542/beyond-the-story?path=1_17,1050000.0,1050000.0,0.0,9781035031542.0,Pan Macmillan,09 July 2023,544.0,English UK / Other,1.21,0
Asian Rainforest Wildlife - 1000 Piece Jigsaw Puzzle...,Unknown Author,Unknown,1,Cooking & Food,http://www.periplus.com/p/9780804855082/asian-rainforest-wildlife-1000-piece-jigsaw-puzzle-finished-size-29-in-x-20-inch-73-7-x-50-8-cm?path=1_17,198000.0,263000.0,25.0,9780804855082.0,Tuttle Publishing,-,0.0,English,0.0,0
The Joy of Small Things,"Parkinson, Hannah Jane",Paperback,1,Cooking & Food,http://www.periplus.com/p/9781783352364/the-joy-of-small-things?path=1_17,234000.0,234000.0,0.0,9781783352364.0,Faber & Faber,-,256.0,English,0.2,0
The Little Guide to Harry Styles: The New King of ...,Oh,Hardcover,0,Cooking & Food,http://www.periplus.com/p/9781800696198/the-little-guide-to-harry-styles-the-new-king-of-pop?path=1_17,185000.0,185000.0,0.0,9781800696198.0,Oh,-,192.0,English,0.25,0
Bts: A Graphic Biography,"Zambello, Filippo",Hardcover,1,Cooking & Food,http://www.periplus.com/p/9781836001041/bts-a-graphic-biography?path=1_17,34300.0,335000.0,90.0,9781836001041.0,White Lion Publishing,-,128.0,English,0.54,0
The NEW Comedy Bible: The Ultimate Guide to Writing...,"Carter, Judy",Paperback,0,Cooking & Food,http://www.periplus.com/p/9781947480841/the-new-comedy-bible-the-ultimate-guide-to-writing-and-performing-stand-up-comedy?path=1_17,492000.0,492000.0,0.0,9781947480841.0,Indie Books International,07 January 2020,294.0,English,0.44,0
Barbie: The Screenplay,"Gerwig, Greta",Paperback,0,Cooking & Food,http://www.periplus.com/p/9780571390137/barbie-the-screenplay?path=1_17,393000.0,393000.0,0.0,9780571390137.0,Faber & Faber,-,138.0,English,0.29,0
Shake It Up: Delicious Cocktails Inspired by the Music...,Welbeck,Hardcover,1,Cooking & Food,http://www.periplus.com/p/9781035419869/shake-it-up-delicious-cocktails-inspired-by-the-music-of-taylor-swift?path=1_17,55300.0,318000.0,83.0,9781035419869.0,Welbeck,-,176.0,English,0.43,0
For the Swifties: A Puzzle Book Inspired by Taylor...,"Alonzo, Aida",Paperback,0,Cooking & Food,http://www.periplus.com/p/9781408734162/for-the-swifties-a-puzzle-book-inspired-by-taylor-swift-unofficial-version-unofficial-version?path=1_17,413000.0,413000.0,0.0,9781408734162.0,Sphere,14 January 2025,160.0,English,0.18,0
Dress Up Harry: A Harry Styles Paper Doll Book Featuring...,-,Paperback,1,Cooking & Food,http://www.periplus.com/p/9781923049031/dress-up-harry-a-harry-styles-paper-doll-book-featuring-his-most-iconic-looks?path=1_17,29400.0,365000.0,92.0,9781923049031.0,Smith Street Books,30 January 2024,32.0,English,0.22,0
